,country,year,iso_code,population,gdp,variable,value,energy_source,type,unit,source
7867,South America,2018,,424740741.0,,biofuel_elec_per_capita,143.57,biofuel,elec,kilowatt-hours,biofuel
7868,South America,2019,,428318218.0,,biofuel_elec_per_capita,144.495,biofuel,elec,kilowatt-hours,biofuel
7869,South America,2020,,431530105.0,,biofuel_elec_per_capita,155.841,biofuel,elec,kilowatt-hours,biofuel
7870,South America,2021,,434254167.0,,biofuel_elec_per_capita,148.484,biofuel,elec,kilowatt-hours,biofuel
7871,South America,2022,,436816679.0,,biofuel_elec_per_capita,141.272,biofuel,elec,kilowatt-hours,biofuel
8327,Africa,2013,,1140180888.0,,biofuel_electricity,3.05,biofuel,electricity,terawatt-hours,biofuel
8328,Africa,2014,,1170299297.0,,biofuel_electricity,2.95,biofuel,electricity,terawatt-hours,biofuel
8329,Africa,2015,,1201108186.0,,biofuel_electricity,3.14,biofuel,electricity,terawatt-hours,biofuel
8330,Africa,2016,,1232111820.0,,biofuel_electricity,3.44,biofuel,electricity,terawatt-hours,biofuel
8331,Africa,2017,,1263333997.0,,biofuel_electricity,3.54,biofuel,electricity,terawatt-hours,biofuel
8332,Africa,2018,,1295265310.0,,biofuel_electricity,3.4,biofuel,electricity,terawatt-hours,biofuel
8333,Africa,2019,,1327701380.0,,biofuel_electricity,3.45,biofuel,electricity,terawatt-hours,biofuel
8334,Africa,2020,,1360677453.0,,biofuel_electricity,2.84,biofuel,electricity,terawatt-hours,biofuel
8335,Africa,2021,,1393676724.0,,biofuel_electricity,2.86,biofuel,electricity,terawatt-hours,biofuel
8336,Africa,2022,,1426736614.0,,biofuel_electricity,2.8,biofuel,electricity,terawatt-hours,biofuel
8410,Antarctica,2013,ATA,,,biofuel_electricity,,biofuel,electricity,terawatt-hours,biofuel
8411,Antarctica,2014,ATA,,,biofuel_electricity,,biofuel,electricity,terawatt-hours,biofuel
8412,Antarctica,2015,ATA,,,biofuel_electricity,,biofuel,electricity,terawatt-hours,biofuel
8413,Antarctica,2016,ATA,,,biofuel_electricity,,biofuel,electricity,terawatt-hours,biofuel
8414,Antarctica,2017,ATA,,,biofuel_electricity,,biofuel,electricity,terawatt-hours,biofuel
8415,Antarctica,2018,ATA,,,biofuel_electricity,,biofuel,electricity,terawatt-hours,biofuel
8416,Antarctica,2019,ATA,,,biofuel_electricity,,biofuel,electricity,terawatt-hours,biofuel
8417,Antarctica,2020,ATA,,,biofuel_electricity,,biofuel,electricity,terawatt-hours,biofuel
8418,Antarctica,2021,ATA,,,biofuel_electricity,,biofuel,electricity,terawatt-hours,biofuel
8459,Asia,2013,,4365286895.0,,biofuel_electricity,107.53,biofuel,electricity,terawatt-hours,biofuel
8460,Asia,2014,,4412496398.0,,biofuel_electricity,123.44,biofuel,electricity,terawatt-hours,biofuel
8461,Asia,2015,,4458250376.0,,biofuel_electricity,145.02,biofuel,electricity,terawatt-hours,biofuel
8462,Asia,2016,,4502955714.0,,biofuel_electricity,145.04,biofuel,electricity,terawatt-hours,biofuel
8463,Asia,2017,,4547095064.0,,biofuel_electricity,170.18,biofuel,electricity,terawatt-hours,biofuel
8464,Asia,2018,,4588802751.0,,biofuel_electricity,195.67,biofuel,electricity,terawatt-hours,biofuel
8465,Asia,2019,,4627738749.0,,biofuel_electricity,223.63,biofuel,electricity,terawatt-hours,biofuel
8466,Asia,2020,,4663086623.0,,biofuel_electricity,250.88,biofuel,electricity,terawatt-hours,biofuel
8467,Asia,2021,,4693332132.0,,biofuel_electricity,293.67,biofuel,electricity,terawatt-hours,biofuel
8468,Asia,2022,,4721383370.0,,biofuel_electricity,327.63,biofuel,electricity,terawatt-hours,biofuel
9131,Europe,2013,,741180502.0,,biofuel_electricity,158.96,biofuel,electricity,terawatt-hours,biofuel
9132,Europe,2014,,742190861.0,,biofuel_electricity,168.58,biofuel,electricity,terawatt-hours,biofuel
